"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C50","Check if the """"Username"""" field accepts non-unique usernames","Lida Hovakimyan","4/10/2023 12:46 PM","","","Medium","","Check the """"Username"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:06 AM"
"C51","Check if the """"Username"""" field accepts over 50 characters","Lida Hovakimyan","4/10/2023 12:46 PM","","","Low","","Check the """"Username"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:07 AM"
"C52","Check if the """"Username"""" field accepts from 1-50 characters","Lida Hovakimyan","4/10/2023 12:46 PM","","","Low","","Check the """"Username"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:07 AM"
"C53","Check if the """"Username"""" field accepts an empty space","Lida Hovakimyan","4/10/2023 12:46 PM","","","Medium","","Check the """"Username"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:07 AM"
"C54","Check if the """"Username"""" field accepts non-alphanumeric characters","Lida Hovakimyan","4/10/2023 12:47 PM","","","Low","","Check the """"Username"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:07 AM"
"C55","Check if the """"Username"""" field displays the noted error message","Lida Hovakimyan","4/10/2023 12:47 PM","","","Low","","Check the """"Username"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:07 AM"
"C56","Check if the """"Password"""" field accepts less than 8 characters","Lida Hovakimyan","4/10/2023 12:47 PM","","","Medium","","Check the """"Password"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:07 AM"
"C57","Check if the """"Password"""" field accepts more than 14 characters","Lida Hovakimyan","4/10/2023 12:47 PM","","","Medium","","Check the """"Password"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:07 AM"
"C58","Check if the """"Password"""" field accepts a password within 8-14 characters","Lida Hovakimyan","4/10/2023 12:47 PM","","","High","","Check the """"Password"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:07 AM"
"C59","Check if the """"Password"""" field accepts non-alphanumeric characters","Lida Hovakimyan","4/10/2023 12:48 PM","","","Medium","","Check the """"Password"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:08 AM"
"C60","Check if the """"Password"""" field accepts an empty space","Lida Hovakimyan","4/10/2023 12:48 PM","","","High","","Check the """"Password"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:08 AM"
"C61","Check if the """"Password"""" field encrypts the entered password","Lida Hovakimyan","4/10/2023 1:38 PM","","","Critical","","Check the """"Password"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:08 AM"
"C62","Check if the """"Confirm password"""" field accepts the same password as in the “Password”","Lida Hovakimyan","4/10/2023 1:39 PM","","","Medium","","Check """"Confirm password"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:08 AM"
"C63","Check if the """"Confirm password"""" field accepts a password differing from the one in the “Password” field","Lida Hovakimyan","4/10/2023 1:39 PM","","","Medium","","Check """"Confirm password"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:08 AM"
"C64","Check if the """"Confirm password"""" field encrypts the entered password","Lida Hovakimyan","4/10/2023 1:40 PM","","","High","","Check """"Confirm password"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:08 AM"
